Norad ID: 858	Latitude: -2.2295068152851756 deg		Longitude: -15.109114043460512 deg
Norad ID: 1317	Latitude: 1.1352954979450027 deg		Longitude: -47.40764560317966 deg
Norad ID: 4353	Latitude: -1.1620820569831116 deg		Longitude: -109.00785305396492 deg
Norad ID: 4902	Latitude: -1.9946106915218802 deg		Longitude: -105.52533177071717 deg
Norad ID: 5587	Latitude: -2.46890554410172 deg		Longitude: -107.319853349408 deg
Norad ID: 8366	Latitude: -5.464576400797291 deg		Longitude: -85.7458869160908 deg
Norad ID: 12472	Latitude: -9.772586318301203 deg		Longitude: -68.6978595874767 deg
Norad ID: 13624	Latitude: -5.701589594048914 deg		Longitude: -115.28114420588459 deg
Norad ID: 13631	Latitude: -5.001679029220394 deg		Longitude: -106.1206046728933 deg
Norad ID: 14050	Latitude: -9.788098142094759 deg		Longitude: -75.60866714637704 deg
Norad ID: 15144	Latitude: -9.53961556248087 deg		Longitude: -61.847472546640866 deg
Norad ID: 15677	Latitude: -1.905294203690208 deg		Longitude: -105.47624570141367 deg
Norad ID: 15678	Latitude: 3.7447913391819916 deg		Longitude: -161.24918448973742 deg
Norad ID: 15946	Latitude: -4.992885334294005 deg		Longitude: -115.58170488368667 deg
Norad ID: 15994	Latitude: 1.5418033677323275 deg		Longitude: -124.4811952789041 deg
Norad ID: 18443	Latitude: -10.77115004347306 deg		Longitude: -29.03320269993032 deg
Norad ID: 18631	Latitude: 3.879257325549317 deg		Longitude: -155.38672139998658 deg
Norad ID: 19483	Latitude: -7.1815100071147855 deg		Longitude: -105.68836274442745 deg
Norad ID: 20499	Latitude: -12.657843746996765 deg		Longitude: -31.929839153224567 deg
Norad ID: 21702	Latitude: -13.12214417051903 deg		Longitude: -45.0502640523795 deg
Norad ID: 22112	Latitude: -13.80561222582469 deg		Longitude: -24.721554548379263 deg
Norad ID: 22911	Latitude: 2.3579068906213183 deg		Longitude: -108.53909430285478 deg
Norad ID: 22988	Latitude: 4.988447552709906 deg		Longitude: -89.25480461729177 deg
Norad ID: 23108	Latitude: -14.127726836883344 deg		Longitude: -16.619988312724903 deg
Norad ID: 23267	Latitude: -14.288752849346439 deg		Longitude: -21.556265878553553 deg
Norad ID: 23426	Latitude: -14.759576870187045 deg		Longitude: -21.235198089402267 deg
Norad ID: 23670	Latitude: 6.513972633578023 deg		Longitude: -117.81936100104538 deg
Norad ID: 23712	Latitude: 5.20060057810988 deg		Longitude: -119.40517631279344 deg
Norad ID: 23741	Latitude: 8.192589515780666 deg		Longitude: -124.12858661213039 deg
Norad ID: 23967	Latitude: -9.421463873505116 deg		Longitude: -24.958771959434365 deg
Norad ID: 24936	Latitude: 4.259711313628895 deg		Longitude: -71.7547439310639 deg
Norad ID: 25019	Latitude: 6.5853702024303775 deg		Longitude: -111.67674902485156 deg
Norad ID: 25153	Latitude: 0.9763699028735574 deg		Longitude: -53.87062692454008 deg
Norad ID: 25967	Latitude: -7.705537804450327 deg		Longitude: -23.301075369809816 deg
Norad ID: 26356	Latitude: 12.496790553302812 deg		Longitude: -164.84103025471148 deg
Norad ID: 26580	Latitude: 0.06608254666514768 deg		Longitude: -135.0269869248401 deg
Norad ID: 26880	Latitude: -7.350113239460589 deg		Longitude: -49.76354790660032 deg
Norad ID: 26900	Latitude: 1.9392555146335921 deg		Longitude: -49.95737015167315 deg
Norad ID: 26948	Latitude: 2.1641041781990493 deg		Longitude: -83.52876088516427 deg
