NORAD ID: 634	 Latitude: 27.583575408561146 deg	 Longitude: 82.41005789188813 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 858	 Latitude: -2.2295068152851756 deg	 Longitude: -15.109114043460512 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 1317	 Latitude: 1.1352954979450027 deg	 Longitude: -47.40764560317966 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 2608	 Latitude: -3.92981162348087 deg	 Longitude: 41.12412043177998 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 2639	 Latitude: -1.3669423616893983 deg	 Longitude: 11.312643414130607 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 4353	 Latitude: -1.1620820569831116 deg	 Longitude: -109.00785305396492 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 4376	 Latitude: -0.7027400260743205 deg	 Longitude: 18.195354264584434 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 4902	 Latitude: -1.9946106915218802 deg	 Longitude: -105.52533177071717 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 5587	 Latitude: -2.46890554410172 deg	 Longitude: -107.319853349408 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 5588	 Latitude: 0.9066897609090429 deg	 Longitude: 139.55288160831188 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 7392	 Latitude: 2.020897165877697 deg	 Longitude: 42.4248820444085 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 7547	 Latitude: 0.21370939673735903 deg	 Longitude: 2.6803237606860666 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 8366	 Latitude: -5.464576400797291 deg	 Longitude: -85.7458869160908 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 8513	 Latitude: 3.6939193159540578 deg	 Longitude: 81.8707028830147 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 10294	 Latitude: 6.731850414575311 deg	 Longitude: 74.63279689935726 deg	 At 2025-07-06 00:00:00+00:00 UTC 
